resolver	resolver_pair	run_count	variance_status	queue_limit	budget_sec	total_samples_mean	total_samples_stddev	unknown_samples_mean	unknown_samples_stddev	needs_review_count_mean	needs_review_count_stddev	cluster_count_mean	cluster_count_stddev	oracle_audit_candidate_count_mean	semantic_diff_count_mean	semantic_counts_mean_json	aggregate_dir
dnsmasq	bind9_vs_dnsmasq	5	ok	8	120	8.000000	0.000000	0.000000	0.000000	8.000000	0.000000	1.000000	0.000000	8.000000	8.000000	"{""oracle_diff"": 8.0}"	/home/egoist/codex/symcc/experiments/results/real_full_stack_multi_resolver_dnslabctl/20260529_093012/dnsmasq/campaign_aggregates/20260529_093308
knot-resolver	bind9_vs_knot-resolver	5	ok	8	120	8.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	"{""no_diff"": 8.0}"	/home/egoist/codex/symcc/experiments/results/real_full_stack_multi_resolver_dnslabctl/20260529_093012/knot/campaign_aggregates/20260529_094134
maradns	bind9_vs_maradns	5	ok	8	120	8.000000	0.000000	0.000000	0.000000	8.000000	0.000000	1.000000	0.000000	8.000000	8.000000	"{""oracle_diff"": 8.0}"	/home/egoist/codex/symcc/experiments/results/real_full_stack_multi_resolver_dnslabctl/20260529_093012/maradns/campaign_aggregates/20260529_094040
smartdns	bind9_vs_smartdns	5	ok	8	120	8.000000	0.000000	0.000000	0.000000	8.000000	0.000000	2.000000	0.000000	8.000000	8.000000	"{""oracle_and_cache_diff"": 2.0, ""oracle_diff"": 6.0}"	/home/egoist/codex/symcc/experiments/results/real_full_stack_multi_resolver_dnslabctl/20260529_093012/smartdns/campaign_aggregates/20260529_093517
unbound	bind9_vs_unbound	5	ok	8	120	8.000000	0.000000	0.000000	0.000000	8.000000	0.000000	1.000000	0.000000	8.000000	8.000000	"{""oracle_and_cache_diff"": 8.0}"	/home/egoist/codex/symcc/experiments/results/real_full_stack_multi_resolver_dnslabctl/20260529_093012/unbound/campaign_aggregates/20260529_093033
