variant_name	run_count	variance_status	queue_limit	budget_sec	total_samples_mean	total_samples_stddev	unknown_samples_mean	unknown_samples_stddev	needs_review_count_mean	needs_review_count_stddev	cluster_count_mean	cluster_count_stddev	oracle_audit_candidate_count_mean	semantic_diff_count_mean	semantic_counts_mean_json	aggregate_dir
full_stack	5	ok	8	120	8.000000	0.000000	0.000000	0.000000	8.000000	0.000000	1.000000	0.000000	8.000000	8.000000	"{""oracle_and_cache_diff"": 8.0}"	/home/egoist/codex/symcc/experiments/results/real_rq3_multi_resolver_ablation/20260603_121445/unbound/full_stack/campaign_aggregates/20260603_122303
afl_only	5	ok	8	120	8.000000	0.000000	0.000000	0.000000	8.000000	0.000000	1.000000	0.000000	8.000000	8.000000	"{""oracle_and_cache_diff"": 8.0}"	/home/egoist/codex/symcc/experiments/results/real_rq3_multi_resolver_ablation/20260603_121445/unbound/afl_only/campaign_aggregates/20260603_123122
no_mutator	5	ok	8	120	8.000000	0.000000	0.000000	0.000000	8.000000	0.000000	1.000000	0.000000	8.000000	8.000000	"{""oracle_and_cache_diff"": 8.0}"	/home/egoist/codex/symcc/experiments/results/real_rq3_multi_resolver_ablation/20260603_121445/unbound/no_mutator/campaign_aggregates/20260603_123941
no_cache_delta	5	ok	8	120	8.000000	0.000000	0.000000	0.000000	8.000000	0.000000	1.000000	0.000000	8.000000	8.000000	"{""oracle_and_cache_diff"": 8.0}"	/home/egoist/codex/symcc/experiments/results/real_rq3_multi_resolver_ablation/20260603_121445/unbound/no_cache_delta/campaign_aggregates/20260603_124759
